country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7656.98,7607.34,7162.55,True
Eurozona,^STOXX50E,6268.97,6382.48,6027.76,False
Reino_Unido,^FTSE,10608.9,10738.49,10377.77,False
Alemania,^GDAXI,25361.15,25749.47,24717.12,False
Francia,^FCHI,8116.76,8440.11,8239.98,False
Espana,^IBEX,,,,False
Suiza,^SSMI,13740.1,14350.64,13543.82,False
Japon,^N225,65270.95,66250.77,59273.66,False
China_onshore,000001.SS,,,,False
China_HK,^HSI,24954.47,25191.94,25631.59,False
India,^BSESN,74902.59,77318.48,79170.06,False
Brasil,^BVSP,187206.89,175361.48,175972.88,True
Mexico,^MXX,63924.77,65863.5,67178.89,False
Canada,^GSPTSE,35697.49,35898.2,33894.41,False
Australia,^AXJO,8819.4,8987.44,8817.75,False
Corea_Sur,^KS11,,,,False
Taiwan,^TWII,46940.49,45014.83,37628.2,True
Indonesia,^JKSE,6589.34,6287.33,7335.8,False
Singapur,^STI,5689.75,5616.42,5069.36,True
Turquia,XU100.IS,14393.9,14109.91,13416.27,True
Argentina,^MERV,3098897.5,3131742.17,3004123.76,False
